GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
theSoftwareInstitute,UIElements.theSoftwareInstitute,TheSoftwareInstituteApplication,20,3,0,0,5,1,2,1,2,1
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmScore,FilmScoreController,71,121,5,3,10,27,8,5,4,5
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmScore,FilmScoreId,0,65,1,9,0,10,1,8,0,4
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmScore,FilmScore,0,36,0,0,0,15,0,8,0,8
theSoftwareInstitute,UIElements.theSoftwareInstitute.Category,CategoryController,4,6,0,0,1,3,1,1,1,1
theSoftwareInstitute,UIElements.theSoftwareInstitute.Category,Category,14,3,0,0,6,1,4,1,4,1
theSoftwareInstitute,UIElements.theSoftwareInstitute.User,UserController,49,68,4,4,6,16,8,3,4,3
theSoftwareInstitute,UIElements.theSoftwareInstitute.User,User,0,38,0,0,0,16,0,11,0,11
theSoftwareInstitute,UIElements.theSoftwareInstitute.Film,Film,32,92,6,0,5,35,5,23,2,23
theSoftwareInstitute,UIElements.theSoftwareInstitute.Film,FilmController,104,74,2,0,17,14,11,4,10,4
theSoftwareInstitute,UIElements.theSoftwareInstitute.Actor,Actor,12,40,1,1,4,13,3,8,2,8
theSoftwareInstitute,UIElements.theSoftwareInstitute.Actor,ActorController,81,120,2,6,12,27,7,6,6,3
theSoftwareInstitute,UIElements.theSoftwareInstitute.Address,AddressController,4,6,0,0,1,3,1,1,1,1
theSoftwareInstitute,UIElements.theSoftwareInstitute.Address,Address,4,55,0,0,2,23,1,16,1,16
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmActor,FilmActor,11,6,0,0,5,2,3,2,3,2
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmActor,NewFilmActorId,0,65,1,9,0,10,1,8,0,4
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmCategory,FilmCategory,14,3,0,0,6,1,4,1,4,1
theSoftwareInstitute,UIElements.theSoftwareInstitute.FilmCategory,NewFilmCategoryId,56,3,10,0,9,1,8,1,3,1
theSoftwareInstitute,UIElements.theSoftwareInstitute.config,DataSourceConfiguration,3,71,0,0,2,23,0,3,0,3
theSoftwareInstitute,UIElements.theSoftwareInstitute.config,SecurityConfig,0,20,0,0,0,9,0,3,0,3
